comunidad,sexo,edad,total,edad_min,edad_max
Total,ambos sexos,Todas las edades,4227.0,,
Total,ambos sexos,Menores de 15 años,12.0,,
Total,ambos sexos,De 15 a 29 años,341.0,15.0,29.0
Total,ambos sexos,De 30 a 39 años,436.0,30.0,39.0
Total,ambos sexos,De 40 a 44 años,350.0,40.0,44.0
Total,ambos sexos,De 45 a 49 años,444.0,45.0,49.0
Total,ambos sexos,De 50 a 54 años,486.0,50.0,54.0
Total,ambos sexos,De 55 a 59 años,479.0,55.0,59.0
Total,ambos sexos,De 60 a 64 años,385.0,60.0,64.0
Total,ambos sexos,De 65 a 69 años,278.0,65.0,69.0
Total,ambos sexos,De 70 a 74 años,275.0,70.0,74.0
Total,ambos sexos,De 75 a 79 años,212.0,75.0,79.0
Total,ambos sexos,De 80 a 84 años,216.0,80.0,84.0
Total,ambos sexos,De 85 a 89 años,194.0,85.0,89.0
Total,ambos sexos,De 90 a 94 años,94.0,90.0,94.0
Total,ambos sexos,De 95 años y más,25.0,,
Total,hombres,Todas las edades,3126.0,,
Total,hombres,Menores de 15 años,9.0,,
Total,hombres,De 15 a 29 años,224.0,15.0,29.0
Total,hombres,De 30 a 39 años,336.0,30.0,39.0
Total,hombres,De 40 a 44 años,273.0,40.0,44.0
Total,hombres,De 45 a 49 años,332.0,45.0,49.0
Total,hombres,De 50 a 54 años,352.0,50.0,54.0
Total,hombres,De 55 a 59 años,354.0,55.0,59.0
Total,hombres,De 60 a 64 años,297.0,60.0,64.0
Total,hombres,De 65 a 69 años,197.0,65.0,69.0
Total,hombres,De 70 a 74 años,188.0,70.0,74.0
Total,hombres,De 75 a 79 años,162.0,75.0,79.0
Total,hombres,De 80 a 84 años,155.0,80.0,84.0
Total,hombres,De 85 a 89 años,159.0,85.0,89.0
Total,hombres,De 90 a 94 años,72.0,90.0,94.0
Total,hombres,De 95 años y más,16.0,,
Total,mujeres,Todas las edades,1101.0,,
Total,mujeres,Menores de 15 años,3.0,,
Total,mujeres,De 15 a 29 años,117.0,15.0,29.0
Total,mujeres,De 30 a 39 años,100.0,30.0,39.0
Total,mujeres,De 40 a 44 años,77.0,40.0,44.0
Total,mujeres,De 45 a 49 años,112.0,45.0,49.0
Total,mujeres,De 50 a 54 años,134.0,50.0,54.0
Total,mujeres,De 55 a 59 años,125.0,55.0,59.0
Total,mujeres,De 60 a 64 años,88.0,60.0,64.0
Total,mujeres,De 65 a 69 años,81.0,65.0,69.0
Total,mujeres,De 70 a 74 años,87.0,70.0,74.0
Total,mujeres,De 75 a 79 años,50.0,75.0,79.0
Total,mujeres,De 80 a 84 años,61.0,80.0,84.0
Total,mujeres,De 85 a 89 años,35.0,85.0,89.0
Total,mujeres,De 90 a 94 años,22.0,90.0,94.0
Total,mujeres,De 95 años y más,9.0,,
Andalucía,ambos sexos,Todas las edades,830.0,,
Andalucía,ambos sexos,Menores de 15 años,1.0,,
Andalucía,ambos sexos,De 15 a 29 años,49.0,15.0,29.0
Andalucía,ambos sexos,De 30 a 39 años,107.0,30.0,39.0
Andalucía,ambos sexos,De 40 a 44 años,64.0,40.0,44.0
Andalucía,ambos sexos,De 45 a 49 años,83.0,45.0,49.0
Andalucía,ambos sexos,De 50 a 54 años,100.0,50.0,54.0
Andalucía,ambos sexos,De 55 a 59 años,105.0,55.0,59.0
Andalucía,ambos sexos,De 60 a 64 años,79.0,60.0,64.0
Andalucía,ambos sexos,De 65 a 69 años,58.0,65.0,69.0
Andalucía,ambos sexos,De 70 a 74 años,50.0,70.0,74.0
Andalucía,ambos sexos,De 75 a 79 años,44.0,75.0,79.0
Andalucía,ambos sexos,De 80 a 84 años,34.0,80.0,84.0
Andalucía,ambos sexos,De 85 a 89 años,36.0,85.0,89.0
Andalucía,ambos sexos,De 90 a 94 años,18.0,90.0,94.0
Andalucía,ambos sexos,De 95 años y más,2.0,,
Andalucía,hombres,Todas las edades,651.0,,
Andalucía,hombres,Menores de 15 años,1.0,,
Andalucía,hombres,De 15 a 29 años,36.0,15.0,29.0
Andalucía,hombres,De 30 a 39 años,85.0,30.0,39.0
Andalucía,hombres,De 40 a 44 años,51.0,40.0,44.0
Andalucía,hombres,De 45 a 49 años,68.0,45.0,49.0
Andalucía,hombres,De 50 a 54 años,74.0,50.0,54.0
Andalucía,hombres,De 55 a 59 años,81.0,55.0,59.0
Andalucía,hombres,De 60 a 64 años,68.0,60.0,64.0
Andalucía,hombres,De 65 a 69 años,45.0,65.0,69.0
Andalucía,hombres,De 70 a 74 años,33.0,70.0,74.0
Andalucía,hombres,De 75 a 79 años,36.0,75.0,79.0
Andalucía,hombres,De 80 a 84 años,27.0,80.0,84.0
Andalucía,hombres,De 85 a 89 años,30.0,85.0,89.0
Andalucía,hombres,De 90 a 94 años,14.0,90.0,94.0
Andalucía,hombres,De 95 años y más,2.0,,
Andalucía,mujeres,Todas las edades,179.0,,
Andalucía,mujeres,Menores de 15 años,0.0,,
Andalucía,mujeres,De 15 a 29 años,13.0,15.0,29.0
Andalucía,mujeres,De 30 a 39 años,22.0,30.0,39.0
Andalucía,mujeres,De 40 a 44 años,13.0,40.0,44.0
Andalucía,mujeres,De 45 a 49 años,15.0,45.0,49.0
Andalucía,mujeres,De 50 a 54 años,26.0,50.0,54.0
Andalucía,mujeres,De 55 a 59 años,24.0,55.0,59.0
Andalucía,mujeres,De 60 a 64 años,11.0,60.0,64.0
Andalucía,mujeres,De 65 a 69 años,13.0,65.0,69.0
Andalucía,mujeres,De 70 a 74 años,17.0,70.0,74.0
Andalucía,mujeres,De 75 a 79 años,8.0,75.0,79.0
Andalucía,mujeres,De 80 a 84 años,7.0,80.0,84.0
Andalucía,mujeres,De 85 a 89 años,6.0,85.0,89.0
Andalucía,mujeres,De 90 a 94 años,4.0,90.0,94.0
Andalucía,mujeres,De 95 años y más,0.0,,
